ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Collections,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Seller,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Meta: condition
,,100022,,Blue Pants กางเกงขาสั้น สีน้ำเงิน,,,,,,,,,,1,1,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100021,,Set Pants 2pieces เซตกางเกงขาสั้น 2ชิ้น,,,,,,,,,,1,1,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100015,,Ralph Lauren Polo Shirt เสื้อเชิ้ตคอปกโปโลสีขาว,,,,,,,,,,1,1,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100014,,Dinosaurs Bodysuit ชุดบอดี้สูทขาสั้นลายไดโนเสาร์,,,,,,,,,,1,1,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300065,,Ralph Lauren Polo Shirt เสื้อเชิ้ตคอปกโปโล ลายขวาง,,,,,,,,,,1,1,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,300064,,Ralph Lauren Polo Shirt เสื้อเชิ้ตคอปกโปโล ลายขวาง,,,,,,,,,,1,1,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100011,,Stars Pajamas ชุดนอนคอกลมขายาวลายดวงดาว,,,,,,,,,,1,1,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100009,,Pink Shirt เสื้อยืด สีชมพู,,,,,,,,,,1,1,,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200116,,Elephants Set Shirt and Pants เซตเสื้อและกางเกง ลายช้าง,,,,,,,,,,1,1,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200115,,Cuddles with mummy Pajamas ชุดนอนคอวีขายาว ลายCuddles with mummy,,,,,,,,,,1,1,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200113,,Miss cute sweater เสื้อกันหนาว ลายMiss cute,,,,,,,,,,1,1,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200112,,Rabbit Pajamas ชุดนอนคอกลมขายาว ลายกระต่าย,,,,,,,,,,1,1,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200111,,Point Pants กางเกงขายาว ลายจุด,,,,,,,,,,1,1,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200110,,Little sunshine Body suit ชุดบอดี้สูทลายLittle sunshine,,,,,,,,,,1,1,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200109,,Cheeky monkey Body suit ชุดบอดี้สูท ลายCheeky monkey,,,,,,,,,,1,1,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200108,,Adidas Shirt เสื้อยืด สกรีนAdidas,,,,,,,,,,1,1,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
